Module,Feature,Description,Platforms,Audience
Platform,iOS mobile app,"Native iOS build with iPhone and iPad (tablet) support",Mobile,All
Platform,Android mobile app,"Native Android build with signed release configuration",Mobile,All
Platform,Web application,"Next.js 16 web app hosted at arvann.in with SSR and ISR",Web,All
Platform,Dark mode,"System / Light / Dark theme with persisted preference across sessions",Mobile + Web,All
Platform,Liquid Glass native module,"Custom native module for iOS 26 glass effects and Android RenderEffect blur",Mobile,All
Platform,Guest browsing,"Read-only guest role — users can browse before signing up",Mobile + Web,Public
Platform,Localization,"India-first: INR currency formatting, en-IN locale, GST-ready",Mobile + Web + Backend,All
Platform,Two build variants,"Separate dev and production bundle IDs and signing profiles",Mobile,Internal
Platform,PWA support,"Web app installable as PWA via manifest with theme colors",Web,All
Platform,Health monitoring,"Backend /api/health endpoint and namespaced structured logging",Backend,Internal
Auth,Email + password signup,"Multi-step signup: start, OTP verify, contact, complete profile",Mobile + Web + Backend,User
Auth,Email OTP verification,"6-digit OTP delivered by email with resend cooldown and max attempts",Mobile + Web + Backend,User
Auth,Email + password login,"Credential login with per-account lockout counter after failed attempts",Mobile + Web + Backend,User
Auth,Apple Sign-In,"Native one-tap sign-in with Apple identity token verification via JWKS",Mobile + Backend,User
Auth,Forgot password (email),"Token-based reset link with expiry, delivered via email",Mobile + Web + Backend,User
Auth,Password reset flow,"Enter reset token and set new password with auto-login on success",Mobile + Web + Backend,User
Auth,Phone number capture gate,"Post-social-signin phone collection to complete user profile",Mobile + Backend,User
Auth,Phone number update,"Authenticated endpoint for users to update their mobile number",Mobile + Web + Backend,User
Auth,Session logout,"Server-side session teardown and client-side token removal",Mobile + Web + Backend,All
Auth,Admin invite bootstrap,"Secure token-based flow to create initial admin/super-admin accounts",Backend,Admin
Auth,Role-based access control,"User / Admin / Super-admin roles with granular per-endpoint permission map",Backend,All
Auth,Support-admin routing,"Public resolver returns the current support admin id for chat routing",Backend,User
Auth,Login promotional popup,"Post-login promotional modal with per-user cooldown storage",Mobile,User
Profile,View + edit personal profile,"Manage name, avatar, bio, address, social links, and preferences",Mobile + Web + Backend,User
Profile,Avatar image upload,"Direct upload to S3 with automatic activity log entry",Mobile + Web + Backend,User
Profile,Notification preferences,"Master toggle plus per-channel (in-app, push, email, SMS) and per-topic overrides",Mobile + Web + Backend,User
Profile,Quiet hours,"Time-window mute for notifications with timezone awareness",Mobile + Web + Backend,User
Profile,Appearance settings,"Light / Dark / System toggle with live preview",Mobile + Web,User
Company,Create business account,"Multi-step wizard to create a company profile linked to the user",Mobile + Web + Backend,User
Company,Multi-company support,"User can own or belong to multiple companies with an active-company switcher",Mobile + Web + Backend,User
Company,Company switcher,"Long-press avatar shortcut on mobile plus explicit switcher in web sidebar",Mobile + Web + Backend,User
Company,Company profile page,"Public profile with hero, compliance section, product catalog, and locations",Mobile + Web + Backend,All
Company,Edit company profile,"Manage name, categories, contact, HQ, locations, social, docs, and settings",Mobile + Web + Backend,User
Company,Company file upload,"Attach documents to company (5 MB per file, S3-backed)",Mobile + Web + Backend,User
Verification,KYC submission,"Upload GST certificate and Aadhaar with multipart form and audit trail",Mobile + Web + Backend,User
Verification,Verification status view,"Pending / Approved / Rejected badge with rejection reason and timeline",Mobile + Web + Backend,User
Verification,Admin review queue,"Approve or reject KYC with reason capture and user notification",Mobile + Web + Backend,Admin
Verification,Document request,"Admin can request additional documents via templated email + notification",Backend,Admin
Marketplace,Public product listings,"Browse products by category with pagination and filters",Mobile + Web + Backend,Public
Marketplace,Product detail page,"Images, variants, price, ratings, seller info, share, stock status",Mobile + Web + Backend,All
Marketplace,Product search,"Full-text search across products with saved history",Mobile + Web + Backend,All
Marketplace,Category browsing,"Browse 16+ manufacturing categories (Food, Textile, Chemical, Auto, Metal, Pharma, etc.)",Mobile + Web + Backend,All
Marketplace,Category stats,"Aggregated product counts per category for dashboard and admin insights",Mobile + Web + Backend,All
